state,county,rgdp2012,rgdp2013,rgdp2014,rgdp2015
CO,Douglas,13808387,12851332,14098307,14874898
CO,Eagle,3796253,3003917,3510306,3704674
CO,Elbert,323042,322422,315840,327714
CO,El Paso,26676740,27585898,28617733,28934089
CO,Fremont,947060,1003743,1010277,1036155
CO,Garfield,2583762,2513255,2567641,2633514
CO,Gilpin,501661,463542,427972,426242
CO,Grand,624980,618682,570772,577537
CO,Gunnison,792280,878073,761781,730513
CO,Hinsdale,18679,17631,18285,21013
CO,Huerfano,140198,128157,134077,137703
CO,Jackson,53347,44712,44359,43822
CO,Jefferson,21362769,22994054,23382062,24435425
CO,Kiowa,70129,71276,68798,74768
CO,Kit Carson,399830,357173,408266,422542
CO,Lake,205710,213242,223669,214709
CO,La Plata,2263686,2614590,2709455,2919663
CO,Larimer,11615652,13709698,14042793,14547289
CO,Las Animas,412501,400748,389798,399912
CO,Lincoln,248655,286508,306634,327011
CO,Logan,957602,953448,1009551,1040743
CO,Mesa,5585262,5308473,5545590,5560659
CO,Mineral,36862,46175,46727,49735
CO,Moffat,1013465,1003849,1053456,977698
CO,Montezuma,642252,686161,691880,698429
CO,Montrose,1151941,1110518,1107660,1147557
CO,Morgan,1317762,1300954,1322857,1374246
CO,Otero,472896,497842,466625,464333
CO,Ouray,129845,144769,153245,164842
CO,Park,213832,179678,190962,198535
CO,Phillips,189199,177313,182427,205237
CO,Pitkin,2051936,2792321,2622615,2623831
CO,Prowers,400007,404967,386633,393462
CO,Pueblo,4956921,4747282,4775890,4911111
CO,Rio Blanco,338885,353327,365235,370223
CO,Rio Grande,317361,304600,315382,342827
CO,Routt,2035891,1960783,1875781,1766886
CO,Saguache,135088,138153,145027,159469
CO,San Juan,36116,31923,21936,21491
CO,San Miguel,492152,532692,698805,748728
CO,Sedgwick,78181,76520,78181,84627
CO,Summit,2022214,1793529,1925337,2099028
CO,Teller,634990,664847,697558,724641
CO,Washington,145960,150442,160572,186896
CO,Weld,9667115,9429439,10594008,10935759
CO,Yuma,572414,578180,641499,722462
CT,Fairfield,85990353,87861223,85885116,86075507
CT,Hartford,74772073,72777217,71607261,74903320
CT,Litchfield,6726941,6449777,6315984,6216544
CT,Middlesex,7915203,7520656,7527826,7833279
CT,New Haven,43175833,41995078,41985523,42409519
CT,New London,17202894,16672070,16448823,16755359
CT,Tolland,4098185,3956727,3936148,3964433
CT,Windham,3919490,3842857,3851094,3849738
DE,Kent,5877245,5765282,5859503,6166816
DE,New Castle,46403522,43535805,45018619,45565567
DE,Sussex,9694992,9856635,12823091,13938501
DC,District of Columbia,112736453,112677868,114961521,117270152
FL,Alachua,11429757,11311866,11190294,11083903
FL,Baker,430363,423767,430661,439815
FL,Bay,7115467,7190677,7391584,7361021
FL,Bradford,514705,466398,515314,502692
FL,Brevard,17447276,18180199,18686892,19374484
FL,Broward,89743811,88822754,87316289,90407039
FL,Calhoun,193286,179302,178620,179285
FL,Charlotte,3170259,3202679,3512533,3732894
FL,Citrus,2984126,3075896,3124169,3070183
FL,Clay,3427334,3478399,3576482,3706746
FL,Collier,11208684,12208904,13724535,15098378
FL,Columbia,1720636,1580264,1668347,1739391
FL,DeSoto,689720,679352,682225,714871
FL,Dixie,166687,166016,153965,161247
FL,Duval,50422209,51738278,52684711,56201916
FL,Escambia,12227760,12543193,12492811,12513620
FL,Flagler,1531382,1489288,1606617,1692643
FL,Franklin,373689,334238,306496,297900
FL,Gadsden,1142586,862214,921925,936807
FL,Gilchrist,246749,232954,231953,250611
FL,Glades,152816,151461,149944,168855
FL,Gulf,342062,345064,316650,316338
FL,Hamilton,328636,360648,304679,352634
FL,Hardee,939935,789466,841205,866481
FL,Hendry,1172778,1135206,1155696,1292175
FL,Hernando,2633857,2693041,2786579,2831966
FL,Highlands,1965581,1964792,1956408,2015883
FL,Hillsborough,69057930,70678566,70086034,72327680
FL,Holmes,232381,215611,225090,226320
FL,Indian River,4039198,4136242,4369905,4701971
FL,Jackson,1052473,997857,1011709,1000531
FL,Jefferson,192172,196019,186784,190941
FL,Lafayette,143412,143991,149633,161416
FL,Lake,6230532,6281513,6584963,6959815
FL,Lee,20636735,20483664,21274511,22160294
FL,Leon,12520108,12418688,12459678,12414160
FL,Levy,581640,559469,564967,602469
FL,Liberty,135069,136922,133745,133404
FL,Madison,362413,395688,409405,453386
FL,Manatee,9416587,9789131,10462614,11211411
FL,Marion,7009583,6839631,7105937,7443395
FL,Martin,5445684,5494436,5663355,6052101
FL,Miami-Dade,111586915,119468467,127501978,132093449
FL,Monroe,3618014,3561042,3665963,3792100
FL,Nassau,1741857,1684410,1669877,1741469
FL,Okaloosa,9140341,9177144,9685844,9895352
FL,Okeechobee,925995,886847,956879,996917
FL,Orange,84650165,85122234,82455821,84020182
FL,Osceola,8448758,7976406,8250089,8532094
FL,Palm Beach,55225552,56964170,66665041,71733167
FL,Pasco,8266513,8312441,8405829,8693622
FL,Pinellas,40311793,40913061,40125342,41452337
FL,Polk,19157678,19068836,18240675,19446895
FL,Putnam,1905422,1874221,1811276,1748203
FL,St. Johns,5585889,5923447,6353767,6820803
FL,St. Lucie,5965363,5972946,6162534,6554072
FL,Santa Rosa,2971653,2854625,3038916,3231722
FL,Sarasota,12664635,13663132,14239259,14702661
FL,Seminole,16650371,16391606,16050943,16825779
FL,Sumter,1722193,1948989,2095187,2148741
FL,Suwannee,919159,816276,796271,809038
FL,Taylor,571602,609307,581979,639252
FL,Union,264560,281179,290566,308397
FL,Volusia,13762528,13639788,13665842,13870953
FL,Wakulla,444129,465661,464960,495560
FL,Walton,1651695,1765005,2146348,2527003
FL,Washington,378261,373653,373525,369967
GA,Appling,1374576,1329045,1303424,1295261
GA,Atkinson,151788,154241,160302,185432
GA,Bacon,255876,263897,270475,277629
GA,Baker,97237,82489,73988,70298
GA,Baldwin,1106089,1053999,1085788,1061569
GA,Banks,268943,270447,270862,294415
GA,Barrow,1390315,1387576,1449899,1498500
GA,Bartow,3479545,3681562,3887190,3750535
GA,Ben Hill,438982,437465,427788,429228
GA,Berrien,341440,344318,335619,341010
GA,Bibb,7167185,7254689,7422577,7312597
GA,Bleckley,238099,227487,205966,208657
GA,Brantley,151436,155391,163076,169970
GA,Brooks,226121,216257,212253,216348
GA,Bryan,687612,524591,582533,620794
GA,Bulloch,1686566,1793577,1867231,1995964
GA,Burke,1850797,1868100,1763418,1820017
GA,Butts,432557,446917,452688,453920
GA,Calhoun,113194,95271,89688,92376
GA,Camden,1541243,1536045,1561922,1575876
GA,Candler,201552,203531,209792,206740
GA,Carroll,3353145,3367820,3308536,3345647
GA,Catoosa,1046361,1083262,1102958,1113767
GA,Charlton,163950,159598,161560,168979
GA,Chatham,13440614,13980290,14756351,15001909
GA,Chattahoochee,2026093,1895489,1810094,1819989
GA,Chattooga,426454,407519,417621,411114
GA,Cherokee,4188950,4419076,4755782,5054544
GA,Clarke,6242497,6138742,6244266,6526963
GA,Clay,50899,69469,60548,60884
GA,Clayton,12287593,12164594,12275809,13022342
GA,Clinch,176709,198044,197134,203175
GA,Cobb,36037927,39078216,40685485,41489195
GA,Coffee,1103001,1124011,1144295,1188598
GA,Colquitt,1049218,1065136,1069096,1104231
GA,Columbia,2609516,2555586,2693399,2834851
GA,Cook,275916,292202,295533,311430
GA,Coweta,2686270,2737388,2809959,2860828
GA,Crawford,98052,93962,93903,107808
GA,Crisp,612347,609494,604478,620102
GA,Dade,268358,253610,252695,264660
GA,Dawson,544241,555590,612714,681933
GA,Decatur,630047,665063,665561,697808
GA,DeKalb,30991175,31634363,32544599,32997569
GA,Dodge,369517,361962,369884,376409
GA,Dooly,265888,245042,254094,274854
GA,Dougherty,3866169,3929666,3887281,3737976
GA,Douglas,2877646,2960898,3029725,3176038
GA,Early,465669,486381,493106,512615
GA,Echols,36278,35935,35712,35080
GA,Effingham,1463565,1504927,1480103,1564534
GA,Elbert,471070,499300,474608,466826
GA,Emanuel,491160,483709,488111,526272
GA,Evans,293674,284971,280913,267277
GA,Fannin,488671,397282,419552,428980
GA,Fayette,3210279,3371317,3450577,3498626
GA,Floyd,3244987,3171736,3191626,3172179
GA,Forsyth,7233568,7041652,8030659,9163150
GA,Franklin,704106,723365,661872,706194
GA,Fulton,134314837,136485775,141579138,147931693
GA,Gilmer,693592,598342,617743,603685
GA,Glascock,25974,26422,28362,28988
GA,Glynn,3127796,3143637,3122502,3147886
GA,Gordon,1698862,1691309,1647056,1677103
GA,Grady,472177,472526,477913,517925
GA,Greene,484530,515166,547090,591148
GA,Gwinnett,37609424,38417004,39616780,41045338
GA,Habersham,1078275,1107918,1115010,1135940
GA,Hall,7094920,6824016,7080508,7168631
GA,Hancock,116479,129486,119120,122738
GA,Haralson,634292,560502,552314,563653
GA,Harris,349018,323264,335246,344079
